id,name,colors,Category,ImageURL,Description,price,link
DR5963-810,Nike ZoomX Streakfly Premium,Metallic Copper/Metallic CopperStyle,Road Racing Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/984421ed-a33f-4264-8d66-444d25b8d743/zoomx-streakfly-road-racing-shoes-hsQ2tF.png","Celebrate the game's biggest competition in a design ignited by the science of connectivity and gravity that the world stage inspires. Featuring a stunning futuristic look made for the globe's greatest players, these shoes have an updated design and patterning to help you place your shots with pinpoint accuracy. Off-centre lacing provides a clean strike zone to help you dribble, pass and score with precision.",15 995,https://www.nike.com/in/t/zoomx-streakfly-road-racing-shoes-hsQ2tF/DX1626-100
FJ1588-810,Nike Zoom Superfly Elite 2,Metallic Copper/Metallic CopperStyle,Athletics Sprinting Spikes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c7895654-aff3-462c-9935-56c29567a1df/zoom-superfly-elite-2-athletics-sprinting-spikes-bDFmq0.png","Kylian Mbappé's explosiveness, plus his twitchy change of direction, puts him firmly in the world class of finishers. With nods to his heritage, this boot is made to help you play just like KM—with blinding pace and purpose. We added a Zoom Air unit, made specifically for football, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most.",13 995,https://www.nike.com/in/t/zoom-superfly-elite-2-athletics-sprinting-spikes-bDFmq0/CD4382-600
DR9705-300,Nike Dunk High 1985,Mineral Slate/Black/White/Armoury NavyStyle,Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8abe4b4e-fadc-43e7-88ca-f150db4c5e6d/dunk-high-1985-shoes-8wdvFz.png","From backboards to skateboards, the Dunk Low is your emblem of tried and tested. Crafted with crisp synthetic underlays and premium leather overlays, it refines the wardrobe staple with on-the-ball seasonal flair. Foam cushioning and a padded, low-cut collar let you take your game anywhere—in comfort.",11 895,https://www.nike.com/in/t/dunk-high-1985-shoes-8wdvFz/DV1143-300
DQ4489-300,Air Jordan 5 x DJ Khaled,Gorge Green/Black/Gum Light Brown/Gorge GreenStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/852c5323-cf29-435d-919d-2936c4bce051/air-jordan-5-dj-khaled-shoes.png","The freedom of wearing nothing. Well, almost nothing. Minimal and lightweight, the SB Dunk High Pro brings you an immediate, broken-in sensation for incredible boardfeel. Its monochromatic upper adds a little PNW flair to your session, while all-over suede boosts its retro appeal. Speaking of appeal, the skate-specific outsole (now donning 8% Nike Grind material) adds exceptional grip and pairs with Zoom Air in the heel for the cushioning needed for big sets. Oh, and that exposed foam tongue with suede labelling adds the cherry on top.",20 295,https://www.nike.com/in/launch/r/DV4982-641
CD4382-600,Air Jordan 1 Low x Eastside Golf,Hyper Pink/Laser Orange/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7798e53d-4fb3-4e71-be7d-ee35e70887d5/air-jordan-1-low-eastside-golf-shoes-h575tw.png","The Nike Zoom Superfly Elite 2 delivers a high-tech design for the track.Ultra-lightweight fabric helps keep you cool, while a spike plate with 8 removable pins provides grip to power through the finish.",11 895,https://www.nike.com/in/t/air-jordan-1-low-eastside-golf-shoes-h575tw/DV1759-448
CU9978-012,Nike Cosmic Unity 2,Smoke Grey/Black/Grey Fog/WhiteStyle,Basketball Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/366987de-8515-4a20-8dfb-8d13a1cb1e7c/cosmic-unity-2-basketball-shoes-S6n2s3.png","The original Nike Air Max 90 was renowned for its clean lines and timeless style. The Nike Air Max 90 G stays true to the OG icon with a few updates made for golf, like integrated traction and a thin overlay that helps keep out water.",13 995,https://www.nike.com/in/t/cosmic-unity-2-basketball-shoes-S6n2s3/DH1537-300
DH1537-300,Nike SB Dunk High Pro,Enamel Green/Iron Grey/Tour Yellow/Multi-ColourStyle,Skate Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ea9f06dc-4108-4614-8af7-5986b2008a54/sb-dunk-high-pro-skate-shoes-qKdNQW.png","Celebrate the love and joy of the game with the Nike Cosmic Unity 2. Made from at least 20% recycled content by weight, it provides enhanced responsiveness and support. This shoe will help keep you fresh and secure without overloading it with extra grams, so that you can focus on locking down the perimeter defensively or starting the fast break after a rebound.",10 795,https://www.nike.com/in/t/sb-dunk-high-pro-skate-shoes-qKdNQW/DQ4489-300
DJ4701-002,Nike Dunk High 85,Wolf Grey/Wolf Grey/Dark Smoke Grey/VoltStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0ba5bceb-48af-44e4-b99d-5675977a261d/dunk-high-85-shoes-xCvxfC.png","We looked into the future and it's gonna be comfy. Featuring a ""point-loaded"" Air unit (cushioning that forms to your every step), the Air Max Scorpion Flyknit delivers a futuristic sensation. And because looks count, we've crafted the upper from incredibly soft chenille-like fabric.",11 895,https://www.nike.com/in/t/dunk-high-85-shoes-xCvxfC/DQ8799-101
DD1399-700,Air Jordan 12 Retro x Eastside Golf,University Gold/White/Habanero Red/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b6930fc7-ce80-417e-b3f4-0929972cb540/air-jordan-12-retro-eastside-golf-shoes-20rBlf.png","Created for the hardwood but taken to the streets, the '80s basketball icon returns with perfectly sheened overlays and original university colours. With its classic hoops design, the Nike Dunk High Retro channels '80s vintage back onto the streets while its padded, high-top collar adds an old-school look rooted in comfort.",18 395,https://www.nike.com/in/t/air-jordan-12-retro-eastside-golf-shoes-20rBlf/DV1758-108
DR5960-810,Nike Dunk High Retro Premium,Metallic Copper/Metallic CopperStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6d46f521-480d-44de-b61a-1682a8d10ceb/dunk-high-retro-shoes-PJtKZZ.png","Celebrate the game's biggest competition in a design ignited by the science of connectivity and gravity that the world stage inspires. Featuring a stunning futuristic look made for the globe's greatest players, these boots have an updated design and patterning to help you place your shots with pinpoint accuracy. Off-centre lacing provides a clean strike zone to help you dribble, pass and score with precision. This version has a Dynamic Fit collar, which wraps your ankle in soft, stretchy fabric for a secure feel.﻿",11 295,https://www.nike.com/in/t/dunk-high-retro-shoes-PJtKZZ/DQ7679-400
DX1599-100,Jordan Stay Loyal 2,White/Racer Blue/Bright Crimson/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2f576a49-cf62-4f8b-b927-6e631c17eeae/jordan-stay-loyal-2-shoes-sDkgDk.png","Bridge the gap between your weekend training run and race day in this durable design. Wear it for your favourite race and in the days after your conquest. It offers comfort and reliability but with a propulsive sensation that helps you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can't have it all? It's a radiant, empowering twist on a running essential, inspired by our human pacers who inspire through connection.",10 295,https://www.nike.com/in/t/jordan-stay-loyal-2-shoes-sDkgDk/DQ8401-100
DM3413-003,Nike Phantom GT2 Academy Dynamic Fit MG,Black/Anthracite/Canyon Purple/Vivid PurpleStyle,Multi-Ground Football Boots,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e7096a0d-3e44-4c45-bd6d-9b29c09d8dd6/phantom-gt2-academy-dynamic-fit-mg-multi-ground-football-boot-gKw3FH.png","Let this esteemed stallion help you log the hard miles. Complete with lighter, responsive, repurposed foam and a feather upper, this motley-coloured mare is made to help you increase tempo without sacrificing comfort as you push towards a personal best. This immortal is responsibly constructed with at least 50% recycled material by weight, while maintaining its tried-and-tested everyday ethos.",8 495,https://www.nike.com/in/t/phantom-gt2-academy-dynamic-fit-mg-multi-ground-football-boot-gKw3FH/DR5960-810
CZ2959-007,Nike Air Max 97 SE,Phantom/Phantom/White/Blue JayStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/dfd40f8e-cf26-4916-aefd-353ea9c20977/air-max-97-se-shoes-pFZ1hk.png","The latest and greatest innovation to hit the streets, the Nike SB Force 58 gives you the durability of a cupsole with the flexibility of a vulcanised shoe. Made from canvas and suede and finished with perforations, the whole look is infused with heritage basketball DNA.",16 995,https://www.nike.com/in/t/air-max-97-se-shoes-pFZ1hk/DZ5348-288
